Date,USD_TRY,Steel_Price_USD,Production_Volume,Sales_Volume,Total_Revenue_TRY,Total_Cost_TRY,Net_Profit_TRY,Profit_Margin
2023-03-31,19.1757,791.65,1193,1145,437750726.56,393867116.65,43883609.91,10.02
2023-04-30,19.4355,707.6,1247,1197,460898286.75,413431749.31,47466537.44,10.3
2023-05-31,20.6116,711.24,1131,1085,443176174.49,400352987.67,42823186.82,9.66
2023-06-30,26.0386,712.19,1224,1175,606347392.27,542877255.93,63470136.34,10.47
2023-07-31,26.8404,725.39,1297,1245,662915569.03,591057756.36,71857812.67,10.84
2023-08-31,26.6813,710.52,1280,1228,649256976.57,579775484.86,69481491.71,10.7
2023-09-30,27.4589,732.92,1131,1085,591370686.32,532499463.38,58871222.94,9.96
2023-10-31,28.2574,696.32,1126,1080,604087113.81,544197385.06,59889728.75,9.91
2023-11-30,28.9409,700.93,1236,1186,679661952.49,607853582.97,71808369.52,10.57
2023-12-31,29.5198,829.19,1322,1269,748979461.83,666135640.61,82843821.21,11.06
2024-01-31,30.3584,743.76,1230,1180,711645026.41,636413720.36,75231306.05,10.57
2024-02-29,31.2088,743.07,1193,1145,709843959.41,635718399.86,74125559.55,10.44
2024-03-31,32.4491,723.98,1169,1122,722185872.49,647538221.01,74647651.48,10.34
2024-04-30,32.3699,644.15,1172,1125,717989229.56,643877134.04,74112095.52,10.32
2024-05-31,32.2438,693.44,1220,1171,747226719.69,668127572.33,79099147.36,10.59
2024-06-30,32.8878,751.39,1220,1171,765498708.12,684162376.45,81336331.68,10.63
2024-07-31,33.0985,780.3,1228,1178,776698696.07,694134002.6,82564693.47,10.63
2024-08-31,34.0773,706.92,1194,1146,773647670.89,692466565.26,81181105.63,10.49
2024-09-30,34.1491,717.76,1244,1194,808411260.35,721527523.68,86883736.67,10.75
2024-10-31,34.2832,760.59,1360,1305,889909640.02,789818964.98,100090675.05,11.25
2024-11-30,34.6484,749.75,1206,1157,796737442.91,712723708.54,84013734.38,10.54
2024-12-31,35.3052,738.0,1094,1050,736108971.5,662722951.23,73386020.27,9.97
2025-01-31,35.853,784.43,1312,1259,899468191.13,799715628.93,99752562.2,11.09
2025-02-28,36.5178,801.63,1258,1207,879443749.39,783962082.34,95481667.05,10.86
2025-03-31,37.9751,655.43,1235,1185,888001057.08,792877271.2,95123785.87,10.71
2025-04-30,38.4994,715.13,1286,1234,941741586.15,838299705.8,103441880.35,10.98
2025-05-31,39.2085,730.42,1347,1293,1006105468.55,892546615.77,113558852.78,11.29
2025-06-30,39.8906,733.4,1227,1177,931986876.23,832160311.69,99826564.53,10.71
2025-07-31,40.587,760.6,1210,1161,937289265.04,837246172.99,100043092.05,10.67
2025-08-31,41.1405,750.47,1263,1212,991048324.62,882662678.71,108385645.91,10.94
2025-09-30,41.5766,769.69,1224,1175,972386672.28,867356184.07,105030488.21,10.8
2025-10-31,42.0268,694.38,1163,1116,928262564.33,831452559.36,96810004.96,10.43
2025-11-30,42.4851,819.4,1193,1145,971892326.29,868250182.62,103642143.67,10.66
2025-12-31,42.952,732.26,1373,1318,1123631284.7,995147495.97,128483788.73,11.43
2026-01-31,43.4551,724.66,1232,1182,1018905614.95,908961575.37,109944039.57,10.79
2026-02-28,43.9554,700.56,1228,1178,1025276421.15,915017309.11,110259112.03,10.75
2026-03-31,44.4739,749.28,1187,1139,1006728706.99,899952927.95,106775779.04,10.61
2026-04-30,45.166,721.52,1193,1145,1025627744.15,916394012.49,109233731.66,10.65
2026-05-31,45.8918,730.21,1153,1106,1007275332.76,902465773.75,104809559.01,10.41
2026-06-30,46.6407,782.63,1212,1163,1080737615.98,964357808.98,116379807.01,10.77
2026-07-31,46.8525,754.51,1172,1125,1047949559.57,936988514.65,110961044.92,10.59
